,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.7393,-90.3518,76.96,76,25,10.76,EC,1650823200
1,Tezu,27.9167,96.1667,68.0,79,87,4.72,IN,1650823200
2,Prabumulih,-3.45,104.25,75.9,93,100,2.26,ID,1650823200
3,Vaini,-21.2,-175.2,77.97,94,75,3.62,TO,1650823200
4,Punta Arenas,-53.15,-70.9167,44.71,81,75,5.97,CL,1650823200
5,Saint-Philippe,-21.3585,55.7679,74.79,77,99,14.67,RE,1650823200
6,Albany,42.6001,-73.9662,64.04,34,91,8.61,US,1650823200
7,Saint-Augustin,51.226,-58.6502,38.89,84,100,19.48,CA,1650823200
8,Longyearbyen,78.2186,15.6401,12.04,57,20,3.36,SJ,1650823200
9,Killam,52.7834,-111.8518,53.55,47,15,5.55,CA,1650823200
10,Leningradskiy,69.3833,178.4167,14.65,96,98,3.47,RU,1650823200
11,Mar del Plata,-38.0023,-57.5575,75.42,58,0,15.19,AR,1650823200
12,Hay River,60.8156,-115.7999,37.85,56,20,14.09,CA,1650823200
13,Hermanus,-34.4187,19.2345,58.06,80,19,7.72,ZA,1650823200
14,Walvis Bay,-22.9575,14.5053,62.1,67,0,20.22,NA,1650823200
15,George Town,5.4112,100.3354,80.47,93,40,4.5,MY,1650823200
16,Province of Mantua,45.1667,10.7833,58.77,75,98,2.82,IT,1650823200
17,Jamestown,42.097,-79.2353,80.04,31,0,9.84,US,1650823200
18,Umeå,63.8284,20.2597,42.73,52,0,4.72,SE,1650823200
19,Ostrovnoy,68.0531,39.5131,35.49,98,100,14.92,RU,1650823200
20,Pitimbu,-7.4706,-34.8086,84.79,74,100,14.76,BR,1650823200
21,Banjar,-8.19,114.9675,77.16,91,43,3.27,ID,1650823200
22,Mujiayingzi,42.1167,118.7833,53.2,42,7,4.59,CN,1650823200
23,Astoria,46.1879,-123.8313,53.31,82,40,4.7,US,1650823200
24,Marsá Maţrūḩ,31.3525,27.2453,64.98,77,0,9.06,EG,1650823200
25,Tocopilla,-22.092,-70.1979,70.05,66,9,6.22,CL,1650823200
